参数名,脚本位置,当前Hex,当前RGB,建议用途,美术目标Hex,美术目标RGB,备注
HUD.HP_CYAN,scripts/hud.gd,#8FE7F5,"RGB(143, 231, 245)",左上血条填充,,,
HUD.TIME_BLUE,scripts/hud.gd,#5FAEDB,"RGB(95, 174, 219)",左上时间条主体填充,,,
HUD.TIME_HIGHLIGHT,scripts/hud.gd,#C8F3FF,"RGB(200, 243, 255)",左上时间条高光,,,
HUD.CLOCK_BLUE,scripts/hud.gd,#78D7F4,"RGB(120, 215, 244)",回溯时钟就绪与回溯提示,,,
HUD.CLOCK_IDLE,scripts/hud.gd,#6D8498,"RGB(109, 132, 152)",回溯时钟未满与AP空点,,,
HUD.SKILL_BLUE_BLACK,scripts/hud.gd,#243744,"RGB(36, 55, 68)",底部技能块底与边框,,,
HUD.RED,scripts/hud.gd,#E9A0AC,"RGB(233, 160, 172)",一般击杀受击与功能性跳字,,,
Game.RED,scripts/main.gd,#E9A0AC,"RGB(233, 160, 172)",世界内功能性红色演出,,,
Game.AP_FULL,scripts/main.gd,#243744,"RGB(36, 55, 68)",主角头顶AP实心点,,,
Game.AP_EMPTY,scripts/main.gd,#6D8498,"RGB(109, 132, 152)",主角头顶AP空心点,,,
规划中.UI_TEXT_PRIMARY,未接入,#6F88A0,"RGB(111, 136, 160)",备用常规UI主字色（当前文字不改）,,,
规划中.UI_TEXT_SECONDARY,未接入,#9CB3C7,"RGB(156, 179, 199)",备用UI次字色（当前文字不改）,,,
规划中.CRIT_MIST_RED,未接入,#C87E90,"RGB(200, 126, 144)",暴击大额伤害跳字与雾粉红外发光,,,
规划中.PANEL_OVERLAY,未接入,#14232E,"RGB(20, 35, 46)",觉醒结算面板遮罩,,,
规划中.FOCUS_GOLD,未接入,#FFF1B5,"RGB(255, 241, 181)",极少量选中态与关键提示,,,
规划中.MIST_WHITE,未接入,#F3FAFF,"RGB(243, 250, 255)",高反差标题与高光文字,,,
